USERNAME,ORDER_NUMBER,SKU,SIZE,NAME,PRODUCT_PRICE_CENTS_SALE_PRICE,CREDIT_DATE,PURCHASED_DATE
g0tchi,671871262,FD9856 100,12.5,Wmns Air Max 1 'Safari - Coconut Milk',145,28/6/23,26/6/23
g0tchi,923213731,1201A924 300,10.5,HAL STUDIOS x Gel 1130 'Forest',187,27/6/23,23/6/23
g0tchi,494428891,1201A019 107,8.5,Gel Kayano 14 'Pure Silver Slate Grey',145,27/6/23,23/6/23
g0tchi,281079403,FD2596 600,12,Wmns Air Jordan 1 Retro High OG 'Washed Pink',194,20/6/23,17/6/23
g0tchi,993763427,CZ4052 103,7,LeBron Witness 6 'Easter',109,19/6/23,13/6/23
g0tchi,997333498,M1906RSA,10.5,1906R 'Blacktop Mindful Grey' size? Exclusive,175,14/6/23,9/6/23
g0tchi,664078246,DX4375 800,7,Air Jordan 1 SE GS 'Recycled Grind',118,2/6/23,31/5/23
g0tchi,117587656,1119394 LMEL,7,Wmns Clifton 8 'Lilac Marble',145,31/5/23,28/5/23
g0tchi,942865877,1119394 LMEL,8,Wmns Clifton 8 'Lilac Marble',150,30/5/23,24/5/23
g0tchi,178187730,DD1503 300,8,Wmns Dunk Low 'Gorge Green',120,17/5/23,14/5/23
g0tchi,328803877,M2002RDL,7.5,2002R 'Protection Pack - Driftwood',164,9/5/23,6/5/23
g0tchi,728313943,M2002RDL,7,2002R 'Protection Pack - Driftwood',169,8/5/23,4/5/23
g0tchi,551739602,685134 102,13,Zoom Rival SD 2 'White Hyper Pink Orange',107,24/4/23,18/4/23
g0tchi,140298075,DV7411 200,10,Wmns Dunk Low LX 'Gold Suede',139,21/4/23,14/4/23
g0tchi,969615209,DV6801 701,10,Air Zoom Infinity Tour NEXT% NRG 'Always Fresh',329,21/4/23,14/4/23
g0tchi,688555435,685134 102,13,Zoom Rival SD 2 'White Hyper Pink Orange',129,18/4/23,13/4/23
g0tchi,758346290,FD0827 133,11.5,Wmns Air Max 1 '87 'Great Indoors',217,18/4/23,13/4/23
g0tchi,579524741,685134 102,12.5,Zoom Rival SD 2 'White Hyper Pink Orange',145,7/4/23,4/4/23
g0tchi,951655961,HQ4274,10.5,Yu-Gi-Oh! x Reptossage Slide 'Dark Magician',59,5/4/23,3/4/23
g0tchi,618296005,685134 102,13,Zoom Rival SD 2 'White Hyper Pink Orange',157,5/4/23,3/4/23
g0tchi,882048177,DH7004 110,9.5,Wmns Air Jordan 1 Elevate Low 'White Neutral Grey',89,29/3/23,3/4/23
g0tchi,334991927,685134 102,13,Zoom Rival SD 2 'White Hyper Pink Orange',157,5/4/23,2/4/23
g0tchi,799553090,DD1391 100,10.5,Dunk Low 'Black White',138,20/3/23,16/3/23
g0tchi,789272366,921826 101,10.5,Air Max 97 'Triple White',99,20/3/23,15/3/23
g0tchi,939176312,M2002RCB,10.5,2002R 'Rust Oxide',123,16/3/23,14/3/23
g0tchi,194143185,CD2563 006,7,Dunk Low SB 'Black Gum',99,8/2/23,13/3/23
g0tchi,493417886,1201A164 200,12,Gel Lyte 3 OG 'Wood Crepe Blossom',120,13/3/23,9/3/23
g0tchi,819157418,DV3054 001,9,Wmns Dunk Low LX 'Black Suede',129,3/3/23,4/3/23
g0tchi,726979796,DV0835 600,10,Zoom KD 3 'All-Star' 2023,159,7/3/23,3/3/23
g0tchi,842196660,FD9746 001,10.5,Dunk Low 'Ironstone',146,28/2/23,25/2/23
g0tchi,163529904,HQ8750,9.5,adiFOM Superstar 'Core White',115,17/2/23,15/2/23
g0tchi,629602934,DV3742 021,5,Air Jordan 4 Retro SE Craft 'Photon Dust',285,20/2/23,14/2/23
g0tchi,908890714,DV3742 021,5,Air Jordan 4 Retro SE Craft 'Photon Dust',305,17/2/23,14/2/23
g0tchi,939240338,HQ8750,10,adiFOM Superstar 'Core White',119,17/2/23,13/2/23
g0tchi,410195621,DV3742 021,5,Air Jordan 4 Retro SE Craft 'Photon Dust',290,16/2/23,8/2/23
g0tchi,556975446,1201A645 200,10,Kiko Kostadinov x UB4-S Gel 1130 'Demitasse Fir Green',69,9/2/23,7/2/23
g0tchi,749755064,DC9104 400,7.5,Samborghini x Nyjah Free 2 Premium SB 'Light Photo Blue Crimson',85,2/2/23,31/1/23
g0tchi,111317479,L41709600,10.5,XT-4 'Evening Primrose',170,30/1/23,20/1/23
g0tchi,977924675,HQ2153,7,Bad Bunny x Forum Buckle Low 'Last Forum',240,14/12/22,12/12/22
g0tchi,966053572,FD8776 800,11.5,Concepts x Dunk Low SB 'Orange Lobster',706,13/12/22,9/12/22
g0tchi,873522809,DH8009 600,8.5,LeBron James x Fruity Pebbles x Dunk Low,95,12/12/22,8/12/22
g0tchi,263927124,DD8024 300,11.5,Blazer Mid '77 Premium 'Toasty - Sequoia',89,8/12/22,5/12/22
g0tchi,140019801,DQ1470 101,10,Wmns Blazer Low Jumbo 'White Black',49,8/12/22,4/12/22
g0tchi,149638693,DZ7292 200,12.5,Zion Williamson x Air Jordan 1 Retro Low OG 'Voodoo',329,6/12/22,3/12/22
g0tchi,865599324,DZ7292 200,6.5,Zion Williamson x Air Jordan 1 Retro Low OG 'Voodoo',290,6/12/22,1/12/22
g0tchi,706192250,DV6773 220,6.5,A Ma Maniére x Air Jordan 4 Retro 'Violet Ore',409,30/11/22,25/11/22
g0tchi,269869009,DZ5485 612,6,Air Jordan 1 Retro High OG 'Chicago Lost & Found',325,28/11/22,19/11/22
g0tchi,506143751,DD1391 300,13,Dunk Low 'Miami Hurricanes',114,17/11/22,15/11/22
g0tchi,933472302,1203A187 302,7.5,Gel Lyte 3 'Olive Tan Presidio',25,6/7/22,12/11/22
g0tchi,463999061,DZ5354 045,13,Dunk High 'Somos Familia',169,8/11/22,5/11/22
g0tchi,427495538,DN2158 100,10.5,Blazer Low '77 Jumbo 'White Alpha Orange',54,7/11/22,3/11/22
g0tchi,204598976,DO9394 100,9,Dunk High SB 'San Francisco Giants',119,28/10/22,26/10/22
g0tchi,314282867,DO9394 100,9.5,Dunk High SB 'San Francisco Giants',124,21/10/22,18/10/22
g0tchi,846813188,DQ0117 100,9,Wmns Air Huarache SE 'Sun Club',54,19/10/22,12/10/22
g0tchi,894086324,DH7690 700,11,Blazer Mid '77 Jumbo 'Wheat Grass Vivid Sulfur',80,7/10/22,2/10/22
g0tchi,591024711,DH7755 001,13,FAUST x Dunk High SB 'The Devil is in The Details',159,30/9/22,24/9/22
g0tchi,795363073,DD1503 120,8,Wmns Dunk Low 'Medium Olive',179,19/9/22,14/9/22
g0tchi,803330991,FU8408,9,Sankuanz x Crazy BYW 'Reconstructed',34,19/9/22,11/9/22
